Date,Value
23/11/1992,1455
24/11/1992,1458.400024
25/11/1992,1467.900024
26/11/1992,1459
27/11/1992,1458.900024
30/11/1992,1456.400024
1/12/1992,1452.300049
2/12/1992,1446.800049
3/12/1992,1442.099976
4/12/1992,1443.199951
7/12/1992,1454.300049
8/12/1992,1480.300049
9/12/1992,1494.900024
10/12/1992,1515.099976
11/12/1992,1513.300049
14/12/1992,1525.900024
15/12/1992,1522.300049
16/12/1992,1508.5
17/12/1992,1512
18/12/1992,1529.400024
21/12/1992,1551.699951
22/12/1992,1543.5
23/12/1992,1536.400024
24/12/1992,1547.599976
25/12/1992,1547.599976
28/12/1992,1553.5
29/12/1992,1553.5
30/12/1992,1552.300049
31/12/1992,1564.699951
1/01/1993,1564.699951
4/01/1993,1576.099976
5/01/1993,1579.900024
6/01/1993,1554.800049
7/01/1993,1542.099976
8/01/1993,1510.400024
11/01/1993,1523.599976
12/01/1993,1517.900024
13/01/1993,1502.199951
14/01/1993,1515.400024
15/01/1993,1534.099976
18/01/1993,1538.300049
19/01/1993,1527.599976
20/01/1993,1530.900024
21/01/1993,1528.400024
22/01/1993,1533
25/01/1993,1532.800049
26/01/1993,1539.099976
27/01/1993,1544.400024
28/01/1993,1536.099976
29/01/1993,1536.5
1/02/1993,1538.300049
2/02/1993,1538.300049
3/02/1993,1538.5
4/02/1993,1540
5/02/1993,1552.5
8/02/1993,1568.5
9/02/1993,1595.099976
10/02/1993,1602
11/02/1993,1610.099976
12/02/1993,1614.300049
15/02/1993,1607.199951
16/02/1993,1623.900024
17/02/1993,1612.800049
18/02/1993,1618.400024
19/02/1993,1604.300049
22/02/1993,1615.699951
23/02/1993,1619.5
24/02/1993,1615.199951
25/02/1993,1617
26/02/1993,1620.199951
1/03/1993,1652.800049
2/03/1993,1658
3/03/1993,1637.300049
4/03/1993,1633.900024
5/03/1993,1623.599976
8/03/1993,1626.5
9/03/1993,1644.099976
10/03/1993,1658.599976
11/03/1993,1672.800049
12/03/1993,1671.900024
15/03/1993,1635.300049
16/03/1993,1669.199951
17/03/1993,1687.099976
18/03/1993,1681.599976
19/03/1993,1689.699951
22/03/1993,1674.900024
23/03/1993,1670
24/03/1993,1673.699951
25/03/1993,1670.699951
26/03/1993,1685.599976
29/03/1993,1686.300049
30/03/1993,1687.199951
31/03/1993,1674.5
1/04/1993,1676.400024
2/04/1993,1692.300049
5/04/1993,1678.699951
6/04/1993,1665.900024
7/04/1993,1662
8/04/1993,1674.300049
9/04/1993,1674.300049
12/04/1993,1699.199951
13/04/1993,1699.199951
14/04/1993,1714.699951
15/04/1993,1713.400024
16/04/1993,1713.400024
19/04/1993,1705.5
20/04/1993,1712.699951
21/04/1993,1702.400024
22/04/1993,1714.400024
23/04/1993,1710.900024
26/04/1993,1716
27/04/1993,1709.099976
28/04/1993,1709.199951
29/04/1993,1684
30/04/1993,1685.199951
3/05/1993,1668.699951
4/05/1993,1668.099976
5/05/1993,1678.5
6/05/1993,1696
7/05/1993,1688.5
10/05/1993,1673.900024
11/05/1993,1689.5
12/05/1993,1698.300049
13/05/1993,1696.199951
14/05/1993,1698.900024
17/05/1993,1686.199951
18/05/1993,1676.400024
19/05/1993,1680.199951
20/05/1993,1682.099976
21/05/1993,1695.099976
24/05/1993,1683.699951
25/05/1993,1698.199951
26/05/1993,1719.5
27/05/1993,1753.400024
28/05/1993,1762.5
31/05/1993,1737.400024
1/06/1993,1732.800049
2/06/1993,1742.599976
3/06/1993,1741.199951
4/06/1993,1739.800049
7/06/1993,1736.900024
8/06/1993,1721.900024
9/06/1993,1708.699951
10/06/1993,1713.599976
11/06/1993,1715.099976
14/06/1993,1715.099976
15/06/1993,1726.5
16/06/1993,1726
17/06/1993,1728
18/06/1993,1730.5
21/06/1993,1726.800049
22/06/1993,1715.900024
23/06/1993,1697.699951
24/06/1993,1698.400024
25/06/1993,1699.099976
28/06/1993,1714.599976
29/06/1993,1716.800049
30/06/1993,1734.599976
1/07/1993,1752.300049
2/07/1993,1764
5/07/1993,1759.599976
6/07/1993,1757.300049
7/07/1993,1765.699951
8/07/1993,1775.800049
9/07/1993,1776.900024
12/07/1993,1797.5
13/07/1993,1799.900024
14/07/1993,1801.300049
15/07/1993,1802.699951
16/07/1993,1796.800049
19/07/1993,1794.300049
20/07/1993,1803.800049
21/07/1993,1815.400024
22/07/1993,1799.5
23/07/1993,1804.400024
26/07/1993,1792.5
27/07/1993,1810.300049
28/07/1993,1814.300049
29/07/1993,1824.099976
30/07/1993,1837.099976
2/08/1993,1846.699951
3/08/1993,1847.099976
4/08/1993,1853.199951
5/08/1993,1857
6/08/1993,1836
9/08/1993,1837.199951
10/08/1993,1852.099976
11/08/1993,1853.800049
12/08/1993,1868.199951
13/08/1993,1852.599976
16/08/1993,1867.199951
17/08/1993,1881.099976
18/08/1993,1891.300049
19/08/1993,1924
20/08/1993,1923.900024
23/08/1993,1929.5
24/08/1993,1919.5
25/08/1993,1916.900024
26/08/1993,1937.400024
27/08/1993,1946.800049
30/08/1993,1955
31/08/1993,1961.599976
1/09/1993,1977.300049
2/09/1993,1968.5
3/09/1993,1953
6/09/1993,1919.5
7/09/1993,1923.599976
8/09/1993,1895.699951
9/09/1993,1888.300049
10/09/1993,1896.599976
13/09/1993,1893.800049
14/09/1993,1870.099976
15/09/1993,1859.099976
16/09/1993,1856.5
17/09/1993,1879.699951
20/09/1993,1878.400024
21/09/1993,1880.699951
22/09/1993,1874.699951
23/09/1993,1884.5
24/09/1993,1902.300049
27/09/1993,1897.699951
28/09/1993,1896.900024
29/09/1993,1906.800049
30/09/1993,1919.800049
1/10/1993,1928.800049
4/10/1993,1932.5
5/10/1993,1955.599976
6/10/1993,1975.199951
7/10/1993,1976.5
8/10/1993,1981.400024
11/10/1993,1994.099976
12/10/1993,1982
13/10/1993,1993
14/10/1993,2017.300049
15/10/1993,2029.900024
18/10/1993,2041.300049
19/10/1993,2030.800049
20/10/1993,2006.199951
21/10/1993,2014.099976
22/10/1993,2015.400024
25/10/1993,2001.300049
26/10/1993,2011.699951
27/10/1993,2025.599976
28/10/1993,2033.900024
29/10/1993,2070.600098
1/11/1993,2091.699951
2/11/1993,2084.100098
3/11/1993,2065.699951
4/11/1993,2058.800049
5/11/1993,2037.099976
8/11/1993,2009.699951
9/11/1993,2005.5
10/11/1993,1997.5
11/11/1993,2007.400024
12/11/1993,2029.5
15/11/1993,2022.199951
16/11/1993,2023
17/11/1993,2044.300049
18/11/1993,2048.600098
19/11/1993,2022.900024
22/11/1993,1988.900024
23/11/1993,1950.199951
24/11/1993,1972.599976
25/11/1993,1982.599976
26/11/1993,1986.099976
29/11/1993,1952.800049
