Date,Value
23/11/1992,1458.900024
30/11/1992,1443.199951
7/12/1992,1513.300049
14/12/1992,1529.400024
21/12/1992,1547.599976
28/12/1992,1564.699951
4/01/1993,1510.400024
11/01/1993,1534.099976
18/01/1993,1533
25/01/1993,1536.5
1/02/1993,1552.5
8/02/1993,1614.300049
15/02/1993,1604.300049
22/02/1993,1620.199951
1/03/1993,1623.599976
8/03/1993,1671.900024
15/03/1993,1689.699951
22/03/1993,1685.599976
29/03/1993,1692.300049
5/04/1993,1674.300049
12/04/1993,1713.400024
19/04/1993,1710.900024
26/04/1993,1685.199951
3/05/1993,1688.5
10/05/1993,1698.900024
17/05/1993,1695.099976
24/05/1993,1762.5
31/05/1993,1739.800049
7/06/1993,1715.099976
14/06/1993,1730.5
21/06/1993,1699.099976
28/06/1993,1764
5/07/1993,1776.900024
12/07/1993,1796.800049
19/07/1993,1804.400024
26/07/1993,1837.099976
2/08/1993,1836
9/08/1993,1852.599976
16/08/1993,1923.900024
23/08/1993,1946.800049
30/08/1993,1953
6/09/1993,1896.599976
13/09/1993,1879.699951
20/09/1993,1902.300049
27/09/1993,1928.800049
4/10/1993,1981.400024
11/10/1993,2029.900024
18/10/1993,2015.400024
25/10/1993,2070.600098
1/11/1993,2037.099976
8/11/1993,2029.5
15/11/1993,2022.900024
22/11/1993,1986.099976
29/11/1993,1991.900024
6/12/1993,2030.900024
13/12/1993,2023.699951
20/12/1993,2031.400024
27/12/1993,2113.600098
3/01/1994,2124
10/01/1994,2141.800049
17/01/1994,2182.699951
24/01/1994,2191.699951
31/01/1994,2266.300049
7/02/1994,2173.199951
14/02/1994,2152.600098
21/02/1994,2079
28/02/1994,2048.100098
7/03/1994,2084
14/03/1994,2093.699951
21/03/1994,2078.5
28/03/1994,1980.099976
4/04/1994,2011.199951
11/04/1994,2013.900024
18/04/1994,1979.300049
25/04/1994,2004.199951
2/05/1994,1944.800049
9/05/1994,2010.800049
16/05/1994,2043.800049
23/05/1994,2041.900024
30/05/1994,2017.199951
6/06/1994,2009.900024
13/06/1994,1991.900024
20/06/1994,1962
27/06/1994,1907.800049
4/07/1994,1905.5
11/07/1994,2002
18/07/1994,1994.099976
25/07/1994,2003.5
1/08/1994,2037
8/08/1994,1996.099976
15/08/1994,2004.599976
22/08/1994,2021.599976
29/08/1994,2049.199951
5/09/1994,2007.800049
12/09/1994,2001.900024
19/09/1994,1966.099976
26/09/1994,1967.699951
3/10/1994,1906.5
10/10/1994,1938.400024
17/10/1994,1969.699951
24/10/1994,1957.400024
31/10/1994,1938.300049
7/11/1994,1890.5
14/11/1994,1862.599976
21/11/1994,1854.199951
28/11/1994,1824.400024
5/12/1994,1800.300049
12/12/1994,1844.800049
19/12/1994,1856.699951
26/12/1994,1857.400024
2/01/1995,1813.300049
9/01/1995,1806.5
16/01/1995,1827
23/01/1995,1814.800049
30/01/1995,1805.400024
6/02/1995,1805.099976
13/02/1995,1817.099976
20/02/1995,1872.199951
27/02/1995,1862.5
6/03/1995,1827.099976
13/03/1995,1880
20/03/1995,1857.5
27/03/1995,1867.099976
3/04/1995,1943.599976
10/04/1995,1980.599976
17/04/1995,1957.900024
24/04/1995,2006.5
1/05/1995,2024.400024
8/05/1995,1999
15/05/1995,1957.099976
22/05/1995,1985.699951
29/05/1995,1968.900024
5/06/1995,1951
12/06/1995,1940.199951
19/06/1995,1992.400024
26/06/1995,1981
3/07/1995,2014.400024
10/07/1995,2081.100098
17/07/1995,2092.5
24/07/1995,2087.800049
31/07/1995,2119.899902
7/08/1995,2094.699951
14/08/1995,2064.199951
21/08/1995,2078.699951
28/08/1995,2094.399902
4/09/1995,2098.5
11/09/1995,2124.100098
18/09/1995,2096.300049
25/09/1995,2091.300049
2/10/1995,2054.100098
9/10/1995,2055.5
16/10/1995,2062.399902
23/10/1995,2024.400024
30/10/1995,2046.5
6/11/1995,2078.699951
13/11/1995,2072
20/11/1995,2106
27/11/1995,2119.100098
4/12/1995,2142.699951
11/12/1995,2176.5
18/12/1995,2160.199951
25/12/1995,2154.899902
1/01/1996,2209.800049
8/01/1996,2183.5
15/01/1996,2189.199951
22/01/1996,2193.199951
29/01/1996,2231.399902
5/02/1996,2210.5
12/02/1996,2236.899902
19/02/1996,2203.300049
26/02/1996,2249.800049
4/03/1996,2201.100098
11/03/1996,2170.5
18/03/1996,2179.199951
25/03/1996,2164
1/04/1996,2156.899902
8/04/1996,2181.300049
15/04/1996,2200.699951
22/04/1996,2258.800049
29/04/1996,2231.100098
6/05/1996,2189
13/05/1996,2187
20/05/1996,2191.600098
27/05/1996,2198
3/06/1996,2153.199951
10/06/1996,2149.600098
17/06/1996,2186.600098
24/06/1996,2171.800049
1/07/1996,2160.5
8/07/1996,2091.5
15/07/1996,2089.600098
22/07/1996,2076.800049
29/07/1996,2137.5
5/08/1996,2147.5
12/08/1996,2161.199951
19/08/1996,2220.5
26/08/1996,2196.100098
2/09/1996,2166.600098
9/09/1996,2181
16/09/1996,2170.699951
23/09/1996,2213.699951
30/09/1996,2246
7/10/1996,2266.100098
14/10/1996,2285.899902
21/10/1996,2271.100098
28/10/1996,2276.100098
4/11/1996,2294.199951
11/11/1996,2315.800049
18/11/1996,2316.800049
25/11/1996,2325.899902
2/12/1996,2255.399902
9/12/1996,2259.899902
16/12/1996,2321.399902
23/12/1996,2340.300049
30/12/1996,2344.800049
6/01/1997,2364.100098
13/01/1997,2380.699951
20/01/1997,2369.5
27/01/1997,2370.699951
3/02/1997,2390
10/02/1997,2424.399902
17/02/1997,2413.300049
24/02/1997,2386
3/03/1997,2376.199951
10/03/1997,2360.199951
17/03/1997,2325.699951
24/03/1997,2360.5
31/03/1997,2310.899902
7/04/1997,2317.800049
14/04/1997,2380.699951
21/04/1997,2409.199951
28/04/1997,2427.300049
5/05/1997,2466.100098
12/05/1997,2475.300049
19/05/1997,2504.899902
26/05/1997,2544.899902
2/06/1997,2532
9/06/1997,2591
16/06/1997,2654
23/06/1997,2641.800049
30/06/1997,2673.100098
7/07/1997,2641.100098
14/07/1997,2626.800049
21/07/1997,2631.899902
28/07/1997,2663
4/08/1997,2643.800049
11/08/1997,2602.199951
18/08/1997,2554.600098
25/08/1997,2526.800049
1/09/1997,2561.199951
8/09/1997,2575.899902
15/09/1997,2671
22/09/1997,2714.899902
29/09/1997,2701.100098
6/10/1997,2631.800049
13/10/1997,2582.800049
20/10/1997,2502.899902
27/10/1997,2415
3/11/1997,2464.5
10/11/1997,2433.399902
17/11/1997,2437.199951
24/11/1997,2424.100098
1/12/1997,2513
8/12/1997,2448.300049
15/12/1997,2480.5
22/12/1997,2507.5
29/12/1997,2560.399902
5/01/1998,2552
12/01/1998,2565
19/01/1998,2572.600098
26/01/1998,2600.800049
2/02/1998,2601.199951
9/02/1998,2591.600098
16/02/1998,2578.300049
23/02/1998,2626.899902
2/03/1998,2609.300049
9/03/1998,2670.899902
16/03/1998,2716.199951
23/03/1998,2703.399902
30/03/1998,2717.699951
6/04/1998,2753.600098
13/04/1998,2817.800049
20/04/1998,2803.899902
27/04/1998,2745.899902
4/05/1998,2723.600098
11/05/1998,2706.399902
18/05/1998,2664.100098
25/05/1998,2655.300049
1/06/1998,2584.899902
8/06/1998,2516.5
15/06/1998,2553.899902
22/06/1998,2563.5
29/06/1998,2694.899902
6/07/1998,2703.699951
13/07/1998,2758.899902
20/07/1998,2689.800049
27/07/1998,2661.300049
3/08/1998,2554.600098
10/08/1998,2529.300049
17/08/1998,2594.399902
24/08/1998,2470.600098
31/08/1998,2446.5
7/09/1998,2402.800049
14/09/1998,2479
21/09/1998,2504.699951
28/09/1998,2449.100098
5/10/1998,2400.600098
12/10/1998,2432.300049
19/10/1998,2467.300049
26/10/1998,2563
2/11/1998,2618.5
9/11/1998,2606.600098
16/11/1998,2619.199951
23/11/1998,2689.300049
30/11/1998,2637.100098
7/12/1998,2636.699951
14/12/1998,2652.300049
21/12/1998,2667.800049
28/12/1998,2717.600098
4/01/1999,2757.399902
11/01/1999,2709.399902
18/01/1999,2736.699951
25/01/1999,2781.699951
1/02/1999,2794.800049
8/02/1999,2777.899902
15/02/1999,2807.899902
22/02/1999,2768.399902
1/03/1999,2785.5
8/03/1999,2843.300049
15/03/1999,2876.100098
22/03/1999,2896.300049
29/03/1999,2872.699951
5/04/1999,2971.699951
12/04/1999,3021.899902
19/04/1999,3045.699951
26/04/1999,3027.800049
3/05/1999,2923.800049
10/05/1999,2984.600098
17/05/1999,2881.100098
24/05/1999,2820.699951
31/05/1999,2873
7/06/1999,2890
14/06/1999,2939.100098
21/06/1999,2905.199951
28/06/1999,2968.199951
5/07/1999,2976.800049
12/07/1999,2990.600098
19/07/1999,2994.699951
26/07/1999,2951
2/08/1999,2946.600098
9/08/1999,2901.5
16/08/1999,2955.600098
23/08/1999,2945
30/08/1999,2887.300049
6/09/1999,2936.600098
13/09/1999,2842
20/09/1999,2821.800049
27/09/1999,2848.800049
4/10/1999,2837.199951
11/10/1999,2801.699951
18/10/1999,2774.600098
25/10/1999,2821.399902
1/11/1999,2864.600098
8/11/1999,2954.800049
15/11/1999,3021.399902
22/11/1999,2995.399902
29/11/1999,3039.5
6/12/1999,3067.699951
13/12/1999,3102.600098
20/12/1999,3099.899902
27/12/1999,3117.699951
3/01/2000,3023.399902
10/01/2000,3115.399902
17/01/2000,3073.399902
24/01/2000,3064.600098
31/01/2000,3118.699951
7/02/2000,3167.300049
14/02/2000,3114.899902
21/02/2000,3111.199951
28/02/2000,3232.600098
6/03/2000,3189.300049
13/03/2000,3200.399902
20/03/2000,3251.5
27/03/2000,3133.300049
3/04/2000,3182
10/04/2000,3111.899902
17/04/2000,3069.199951
24/04/2000,3115.800049
1/05/2000,3107.199951
8/05/2000,3034.800049
15/05/2000,3039.100098
22/05/2000,3000.699951
29/05/2000,3140.899902
5/06/2000,3146.5
12/06/2000,3140.800049
19/06/2000,3177.100098
26/06/2000,3311.199951
3/07/2000,3305.300049
10/07/2000,3303.5
17/07/2000,3332.300049
24/07/2000,3255
31/07/2000,3277.199951
7/08/2000,3309.100098
14/08/2000,3344.199951
21/08/2000,3367.399902
28/08/2000,3331.699951
4/09/2000,3320.300049
11/09/2000,3329.800049
18/09/2000,3188.600098
25/09/2000,3298.800049
2/10/2000,3293.5
9/10/2000,3201.899902
16/10/2000,3235.800049
23/10/2000,3244.699951
30/10/2000,3321.899902
6/11/2000,3300.899902
13/11/2000,3329.100098
20/11/2000,3280.600098
27/11/2000,3284.100098
4/12/2000,3287.600098
11/12/2000,3229.199951
18/12/2000,3196
25/12/2000,3206.199951
1/01/2001,3300.399902
8/01/2001,3243.199951
15/01/2001,3311.600098
22/01/2001,3321.399902
29/01/2001,3355.300049
5/02/2001,3312.399902
12/02/2001,3320.100098
19/02/2001,3292
26/02/2001,3333.399902
5/03/2001,3331.300049
12/03/2001,3252.399902
19/03/2001,3145.300049
26/03/2001,3147.199951
2/04/2001,3233.199951
9/04/2001,3276.800049
16/04/2001,3303.5
23/04/2001,3293.899902
30/04/2001,3340.5
7/05/2001,3389
14/05/2001,3404.100098
21/05/2001,3426.100098
28/05/2001,3391.5
4/06/2001,3434.399902
11/06/2001,3415.699951
18/06/2001,3428.300049
25/06/2001,3490.300049
2/07/2001,3353.899902
9/07/2001,3396.5
16/07/2001,3380.699951
23/07/2001,3292
30/07/2001,3405.399902
6/08/2001,3401.300049
13/08/2001,3330.399902
20/08/2001,3348
27/08/2001,3275.600098
3/09/2001,3234.300049
10/09/2001,3100.800049
17/09/2001,2941.899902
24/09/2001,3049.5
1/10/2001,3179.100098
8/10/2001,3225.100098
15/10/2001,3175.399902
22/10/2001,3276.199951
29/10/2001,3239.899902
5/11/2001,3286
12/11/2001,3322.5
19/11/2001,3332.899902
26/11/2001,3337.5
3/12/2001,3371.800049
10/12/2001,3290.800049
17/12/2001,3374.5
24/12/2001,3427.100098
31/12/2001,3435.699951
7/01/2002,3417.600098
14/01/2002,3387
21/01/2002,3442.300049
28/01/2002,3445.5
4/02/2002,3450.399902
11/02/2002,3480.399902
18/02/2002,3422.100098
25/02/2002,3417.300049
4/03/2002,3485.300049
11/03/2002,3407.699951
18/03/2002,3433.800049
25/03/2002,3414.800049
1/04/2002,3390
8/04/2002,3354.5
15/04/2002,3407.300049
22/04/2002,3379.100098
29/04/2002,3366
6/05/2002,3330.899902
13/05/2002,3412.600098
20/05/2002,3387.100098
27/05/2002,3373.600098
3/06/2002,3342.800049
10/06/2002,3294.100098
17/06/2002,3252.199951
24/06/2002,3216
1/07/2002,3214.800049
8/07/2002,3197.399902
15/07/2002,3109.199951
22/07/2002,2989.5
29/07/2002,3053.899902
5/08/2002,3106.800049
12/08/2002,3133.300049
19/08/2002,3184.5
26/08/2002,3120.100098
2/09/2002,3089.5
9/09/2002,3130.600098
16/09/2002,3073.600098
23/09/2002,3008.899902
30/09/2002,2991.600098
7/10/2002,2924.600098
14/10/2002,3010.600098
21/10/2002,3009.199951
28/10/2002,3010.300049
4/11/2002,3008.800049
11/11/2002,3004.899902
18/11/2002,3035.800049
25/11/2002,3061.399902
2/12/2002,3027.300049
9/12/2002,2971.300049
16/12/2002,3011.399902
23/12/2002,3027.199951
30/12/2002,3055.5
6/01/2003,3063.5
13/01/2003,3051.699951
20/01/2003,3026.199951
27/01/2003,2956.899902
3/02/2003,2906
10/02/2003,2817.199951
17/02/2003,2820.199951
24/02/2003,2800.899902
3/03/2003,2744
10/03/2003,2753.100098
17/03/2003,2866.699951
24/03/2003,2897.699951
31/03/2003,2933.5
7/04/2003,2949
14/04/2003,2953.199951
21/04/2003,3001.899902
28/04/2003,2975.399902
5/05/2003,2956
12/05/2003,2951.300049
19/05/2003,2997.699951
26/05/2003,3011
2/06/2003,3048.899902
9/06/2003,3087.600098
16/06/2003,3089.5
23/06/2003,3048.800049
30/06/2003,3028.399902
7/07/2003,3043.800049
14/07/2003,3083.600098
21/07/2003,3098.600098
28/07/2003,3140.300049
4/08/2003,3149.399902
11/08/2003,3148
18/08/2003,3184.399902
25/08/2003,3199.699951
1/09/2003,3213.800049
8/09/2003,3192.5
15/09/2003,3218.100098
22/09/2003,3171.5
29/09/2003,3203.300049
6/10/2003,3260.199951
13/10/2003,3294.300049
20/10/2003,3256.300049
27/10/2003,3272
3/11/2003,3248.5
10/11/2003,3201.800049
17/11/2003,3169.100098
24/11/2003,3186.399902
1/12/2003,3229.800049
8/12/2003,3212.699951
15/12/2003,3232.800049
22/12/2003,3265.600098
29/12/2003,3300.699951
5/01/2004,3301.600098
12/01/2004,3288.800049
19/01/2004,3334.699951
26/01/2004,3272
2/02/2004,3272.199951
9/02/2004,3333.699951
16/02/2004,3344.100098
23/02/2004,3360.600098
1/03/2004,3407.5
8/03/2004,3402.300049
15/03/2004,3435.300049
22/03/2004,3428.5
29/03/2004,3438.600098
5/04/2004,3450.600098
12/04/2004,3417.300049
19/04/2004,3457
26/04/2004,3400.800049
3/05/2004,3393.199951
10/05/2004,3359.5
17/05/2004,3395.399902
24/05/2004,3450.399902
31/05/2004,3467.699951
7/06/2004,3478.199951
14/06/2004,3527.699951
21/06/2004,3529.199951
28/06/2004,3534.399902
5/07/2004,3564
12/07/2004,3531
19/07/2004,3485.199951
26/07/2004,3536.100098
2/08/2004,3530.600098
9/08/2004,3477.800049
16/08/2004,3497.699951
23/08/2004,3558.899902
30/08/2004,3577.300049
6/09/2004,3596
13/09/2004,3631.600098
20/09/2004,3623.899902
27/09/2004,3659.600098
4/10/2004,3686.800049
11/10/2004,3720.5
18/10/2004,3709.899902
25/10/2004,3778.600098
1/11/2004,3843.5
8/11/2004,3862.5
15/11/2004,3872.699951
22/11/2004,3912.100098
29/11/2004,3939.5
6/12/2004,3898.5
13/12/2004,3988
20/12/2004,4048.600098
27/12/2004,4050.600098
3/01/2005,4063.199951
10/01/2005,4061.600098
17/01/2005,4043.899902
24/01/2005,4098.899902
31/01/2005,4161.799805
7/02/2005,4174.299805
14/02/2005,4163.600098
21/02/2005,4130.5
28/02/2005,4220.399902
7/03/2005,4203.799805
14/03/2005,4249.100098
21/03/2005,4136.399902
28/03/2005,4138.299805
4/04/2005,4165.5
11/04/2005,4014.300049
18/04/2005,4034.100098
25/04/2005,3983.199951
2/05/2005,3983.300049
9/05/2005,4012.100098
16/05/2005,4041.300049
23/05/2005,4116.399902
30/05/2005,4194
6/06/2005,4221.700195
13/06/2005,4312.200195
20/06/2005,4245.600098
27/06/2005,4272.600098
4/07/2005,4229.200195
11/07/2005,4292.399902
18/07/2005,4371.100098
25/07/2005,4388.799805
1/08/2005,4377.299805
8/08/2005,4469.200195
15/08/2005,4461.600098
22/08/2005,4452.5
29/08/2005,4473.700195
5/09/2005,4468.100098
12/09/2005,4553.600098
19/09/2005,4562.399902
26/09/2005,4641.200195
3/10/2005,4440.600098
10/10/2005,4406.100098
17/10/2005,4364.299805
24/10/2005,4383
31/10/2005,4519.5
7/11/2005,4574.299805
14/11/2005,4671.100098
21/11/2005,4648.799805
28/11/2005,4623.5
5/12/2005,4580.100098
12/12/2005,4644
19/12/2005,4727.700195
26/12/2005,4763.399902
2/01/2006,4791.100098
9/01/2006,4836.700195
16/01/2006,4854.399902
23/01/2006,4919.299805
30/01/2006,4883.799805
6/02/2006,4871.5
13/02/2006,4799.899902
20/02/2006,4893.399902
27/02/2006,4898.5
6/03/2006,4888.100098
13/03/2006,4971.700195
20/03/2006,5040.100098
27/03/2006,5129.700195
3/04/2006,5232.899902
10/04/2006,5175.700195
17/04/2006,5250.100098
24/04/2006,5258.799805
1/05/2006,5255.399902
8/05/2006,5329.5
15/05/2006,5100.899902
22/05/2006,5053.700195
29/05/2006,5077.200195
5/06/2006,4966
12/06/2006,4969
19/06/2006,4964.899902
26/06/2006,5073.899902
3/07/2006,5135.299805
10/07/2006,4966.100098
17/07/2006,4960.600098
24/07/2006,4958.299805
31/07/2006,4956.100098
7/08/2006,4949.200195
14/08/2006,5052.5
21/08/2006,5023.600098
28/08/2006,5097.100098
4/09/2006,5098.299805
11/09/2006,5036.399902
18/09/2006,4983.200195
25/09/2006,5154.100098
2/10/2006,5220.700195
9/10/2006,5290
16/10/2006,5335.399902
23/10/2006,5358.5
30/10/2006,5432
6/11/2006,5436.700195
13/11/2006,5419.700195
20/11/2006,5453.600098
27/11/2006,5427.899902
4/12/2006,5425.799805
11/12/2006,5575.399902
18/12/2006,5603.700195
25/12/2006,5669.899902
1/01/2007,5572
8/01/2007,5638.799805
15/01/2007,5673.100098
22/01/2007,5769.899902
29/01/2007,5831.5
5/02/2007,5927.200195
12/02/2007,5953.700195
19/02/2007,6036.100098
26/02/2007,5786
5/03/2007,5830.200195
12/03/2007,5836.299805
19/03/2007,5952.299805
26/03/2007,5995
2/04/2007,6077.100098
9/04/2007,6135.799805
16/04/2007,6207.5
23/04/2007,6151.600098
30/04/2007,6304.899902
7/05/2007,6297.399902
14/05/2007,6312.5
21/05/2007,6252.799805
28/05/2007,6333.5
4/06/2007,6231.700195
11/06/2007,6293.799805
18/06/2007,6382.600098
25/06/2007,6274.899902
2/07/2007,6351.100098
9/07/2007,6389.399902
16/07/2007,6421.799805
23/07/2007,6082.899902
30/07/2007,6021
6/08/2007,5936
13/08/2007,5671
20/08/2007,6088.5
27/08/2007,6247.200195
3/09/2007,6278.399902
10/09/2007,6306.799805
17/09/2007,6357.899902
24/09/2007,6567.799805
1/10/2007,6605.399902
8/10/2007,6748.899902
15/10/2007,6706.299805
22/10/2007,6700.600098
29/10/2007,6696.600098
5/11/2007,6545.700195
12/11/2007,6461.899902
19/11/2007,6330.200195
26/11/2007,6533.100098
3/12/2007,6654.700195
10/12/2007,6491.700195
17/12/2007,6247
24/12/2007,6339.899902
31/12/2007,6306.799805
7/01/2008,5981.600098
14/01/2008,5747.299805
21/01/2008,5860.299805
28/01/2008,5842.899902
4/02/2008,5658
11/02/2008,5606.600098
18/02/2008,5559.899902
25/02/2008,5572.100098
3/03/2008,5264
10/03/2008,5206.899902
17/03/2008,5127.5
24/03/2008,5351.100098
31/03/2008,5619.600098
7/04/2008,5439.299805
14/04/2008,5429.700195
21/04/2008,5587.299805
28/04/2008,5700.399902
5/05/2008,5771.799805
12/05/2008,5931
